City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
104,Maragogi,BR,83.23,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
108,Manggar,ID,78.67,broken clouds,-2.8833,108.2667,Guest Hotel
114,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
119,Malabo,GQ,84.24,light rain,3.75,8.7833,Magno Suites
124,Cabo San Lucas,MX,78.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
126,Fomboni,KM,82.42,moderate rain,-12.28,43.7425,Auberge les abou
130,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
131,Tomatlan,MX,84.96,scattered clouds,19.9333,-105.25,El Salvial
134,Butaritari,KI,80.37,broken clouds,3.0707,172.7902,Isles Sunset Lodge
141,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
142,Itarema,BR,76.01,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
143,Vaini,TO,80.17,light rain,-21.2,-175.2,Keleti Beach Resort
147,Kavaratti,IN,83.53,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
148,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
151,Sur,OM,80.49,clear sky,22.5667,59.5289,Sur Plaza Hotel
153,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
157,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
158,Itajuba,BR,82.76,moderate rain,-22.4256,-45.4528,Hotel Oriente
160,Sao Miguel Do Araguaia,BR,85.86,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
166,Ambon,ID,80.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
168,Lisala,CD,83.14,broken clouds,2.15,21.5167,Flat hôtel tozelaka
172,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
173,Riberalta,BO,86.2,broken clouds,-10.9833,-66.1,Hotel Colonial
174,Acarau,BR,76.28,moderate rain,-2.8856,-40.12,castelo pizzaria
175,Yajalon,MX,78.62,clear sky,17.2333,-92.3333,
178,Tefe,BR,84.31,scattered clouds,-3.3542,-64.7114,Aracati Hotel
190,Mitu,CO,88.95,light rain,1.1983,-70.1733,
194,Lahad Datu,MY,75.76,few clouds,5.0268,118.327,The 27th House
196,Hithadhoo,MV,83.34,clear sky,-0.6,73.0833,Scoop Guest House
198,Akyab,MM,79.97,broken clouds,20.15,92.9,Hotel Memory
203,Mangrol,IN,76.87,clear sky,21.1167,70.1167,Hotel The Royal Honours
204,Tautira,PF,80.87,scattered clouds,-17.7333,-149.15,Pension Oaoa
208,Diplo,PK,80.78,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
215,Papara,BR,84.6,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
216,San Patricio,US,77.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
219,Lorengau,PG,78.87,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
220,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
225,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
230,Sirohi,IN,84.96,clear sky,24.8833,72.8667,Dheeraj Kumar
242,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
244,Monte Alegre,BR,76.8,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
247,Isla Mujeres,MX,86.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
248,Dwarka,IN,78.33,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
254,Grand-Lahou,CI,84.0,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
260,Arraial Do Cabo,BR,84.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
262,Meulaboh,ID,78.06,overcast clouds,4.1363,96.1285,Kost Pria
265,Sompeta,IN,80.06,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
267,Pagudpud,PH,78.37,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
270,Kavieng,PG,81.63,light rain,-2.5744,150.7967,Nusa Island Retreat
275,Kot Addu,PK,79.25,clear sky,30.4692,70.9671,Mohammad Ayub General Store
276,Yenagoa,NG,85.59,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
280,Encheng,CN,77.97,broken clouds,22.1839,112.3026,Pinghu Hostel
282,Kualakapuas,ID,75.52,broken clouds,-3.0091,114.3876,Guest House Izonk
284,Nong Chik,TH,77.22,broken clouds,6.8436,101.178,Bakkahland Farm and Resort
289,Sola,VU,82.22,light rain,-13.8833,167.55,Leumerus Bungalows
291,Lagos,NG,88.12,broken clouds,6.5833,3.75,
293,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,hotel la terminal
296,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
297,Keti Bandar,PK,80.94,clear sky,24.1447,67.4497,Haji laloo memon house
300,Matadi,CD,86.7,broken clouds,-5.8167,13.45,Hotel Vivi Palace
303,Vao,NC,78.6,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
307,Huarmey,PE,76.01,overcast clouds,-10.0681,-78.1522,Hotel Miramar
317,Hambantota,LK,80.56,few clouds,6.1241,81.1185,Bungalow 63
321,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
322,Ewa Beach,US,75.09,clear sky,21.3156,-158.0072,Base Lodging
323,Sumbe,AO,79.45,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
324,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
325,Auki,SB,77.86,overcast clouds,-8.7676,160.7034,Auki Motel
329,Moratuwa,LK,79.43,few clouds,6.773,79.8816,Sa Mansion By Yoho
331,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
332,Bemban,MY,80.4,few clouds,2.2684,102.3746,NeoHomeStay Gapam Lestari
333,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
336,Les Cayes,HT,81.88,scattered clouds,18.2,-73.75,Villa Orphee
337,Kalmunai,LK,79.88,clear sky,7.4167,81.8167,VS Villa
351,Monte Patria,CL,82.62,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
