City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Winsum,NL,53.33,6.5208,38.1,87,100,30.74,overcast clouds
272,Lebu,CL,-37.6167,-73.65,57.69,59,5,20.85,clear sky
273,Ileza,RU,61.0533,43.9002,24.17,93,100,6.17,light snow
274,Lagoa,PT,39.05,-27.9833,61.7,86,98,5.82,overcast clouds
275,Kot Addu,PK,30.4692,70.9671,79.25,9,0,6.02,clear sky
276,Yenagoa,NG,4.9247,6.2642,85.59,69,66,9.66,light rain
277,Henties Bay,NA,-22.116,14.2845,64.2,79,0,12.3,clear sky
278,Manga,BF,11.6636,-1.0731,103.19,11,47,0.74,scattered clouds
279,Launceston,AU,-41.45,147.1667,51.44,62,75,14.97,broken clouds
280,Encheng,CN,22.1839,112.3026,77.97,78,74,5.75,broken clouds
281,Aguimes,ES,27.9054,-15.4461,66.67,64,20,21.85,few clouds
282,Kualakapuas,ID,-3.0091,114.3876,75.52,92,59,2.77,broken clouds
283,Broken Hill,AU,-31.95,141.4333,60.53,53,0,21.03,clear sky
284,Nong Chik,TH,6.8436,101.178,77.22,88,62,5.99,broken clouds
285,Bud,US,39.447,-86.1758,44.55,86,96,17.81,overcast clouds
286,Mehamn,NO,71.0357,27.8492,26.51,86,75,8.05,broken clouds
287,Okha,RU,53.5739,142.9478,2.59,92,34,8.03,scattered clouds
288,Shiyan,CN,32.6475,110.7781,52.43,79,100,1.88,overcast clouds
289,Sola,VU,-13.8833,167.55,82.22,74,100,6.85,light rain
290,Okato,NZ,-39.2,173.8833,59.92,88,96,2.84,overcast clouds
291,Lagos,NG,6.5833,3.75,88.12,69,59,10.25,broken clouds
292,Korla,CN,41.7597,86.1469,50.65,38,0,4.09,clear sky
293,Ixtapa,MX,20.7,-105.2,76.23,57,75,3.44,broken clouds
294,Mufulira,ZM,-12.5498,28.2407,63.18,96,39,3.87,moderate rain
295,Roros,NO,62.5747,11.3842,26.44,59,100,4.61,overcast clouds
296,Salalah,OM,17.0151,54.0924,80.69,69,0,3.44,clear sky
297,Keti Bandar,PK,24.1447,67.4497,80.94,57,0,8.84,clear sky
298,Qasigiannguit,GL,68.8193,-51.1922,17.85,92,90,2.86,overcast clouds
299,Kuryk,KZ,43.2,51.65,54.32,52,61,7.76,broken clouds
300,Matadi,CD,-5.8167,13.45,86.7,66,76,3.96,broken clouds
301,Leningradskiy,RU,69.3833,178.4167,-8.09,93,96,1.57,overcast clouds
302,Aykhal,RU,66.0,111.5,21.92,96,100,10.51,overcast clouds
303,Vao,NC,-22.6667,167.4833,78.6,85,3,10.13,clear sky
304,Moron,AR,-34.6534,-58.6198,65.95,34,2,3.74,clear sky
305,Talakan,RU,50.3167,130.3667,13.14,97,87,1.21,overcast clouds
306,Cheremkhovo,RU,53.1561,103.0675,18.95,96,99,5.57,overcast clouds
307,Huarmey,PE,-10.0681,-78.1522,76.01,72,91,10.78,overcast clouds
308,Jevargi,IN,17.0167,76.7667,94.32,10,2,6.53,clear sky
309,Palmer,US,42.1584,-72.3287,60.35,85,100,1.01,light intensity drizzle
310,Abu Zabad,SD,12.35,29.25,90.45,13,58,7.2,broken clouds
311,Develi,TR,38.3906,35.4922,52.95,64,63,5.84,broken clouds
312,Leh,IN,34.1667,77.5833,24.3,51,1,5.79,clear sky
313,Palmas De Monte Alto,BR,-14.2672,-43.1619,96.71,19,1,6.85,clear sky
314,Husavik,IS,66.0449,-17.3389,34.5,99,100,2.01,light snow
315,Algiers,DZ,36.7525,3.042,58.82,72,40,19.57,scattered clouds
316,Powell River,CA,49.8496,-124.5361,48.99,87,20,9.22,few clouds
317,Hambantota,LK,6.1241,81.1185,80.56,80,15,5.44,few clouds
318,Abay,KZ,49.6311,72.8539,32.38,85,100,4.97,overcast clouds
319,Saint Anthony,US,45.0205,-93.218,32.67,69,100,17.27,overcast clouds
320,Kamina,CD,-8.7386,24.9906,66.16,92,98,3.83,overcast clouds
321,Mahebourg,MU,-20.4081,57.7,79.09,78,75,16.11,broken clouds
322,Ewa Beach,US,21.3156,-158.0072,75.09,79,0,3.44,clear sky
323,Sumbe,AO,-11.2061,13.8437,79.45,86,49,8.66,scattered clouds
324,Acapulco,MX,16.8634,-99.8901,82.22,57,0,9.22,clear sky
325,Auki,SB,-8.7676,160.7034,77.86,86,100,1.88,overcast clouds
326,Haines Junction,CA,60.7522,-137.5108,26.55,74,71,1.14,broken clouds
327,Kibala,TD,9.1104,18.3463,100.35,27,20,0.0,few clouds
328,Christiana,ZA,-27.914,25.1611,74.19,35,50,3.83,scattered clouds
329,Moratuwa,LK,6.773,79.8816,79.43,83,14,2.68,few clouds
330,Brigantine,US,39.4101,-74.3646,68.04,87,0,20.71,clear sky
331,Denpasar,ID,-8.65,115.2167,82.06,83,20,2.3,few clouds
332,Bemban,MY,2.2684,102.3746,80.4,83,20,0.0,few clouds
333,Kahului,US,20.8947,-156.47,76.84,83,0,8.99,clear sky
334,Dunedin,NZ,-45.8742,170.5036,52.81,62,100,8.01,light rain
335,Fairbanks,US,64.8378,-147.7164,14.34,48,0,6.91,clear sky
336,Les Cayes,HT,18.2,-73.75,81.88,65,45,12.93,scattered clouds
337,Kalmunai,LK,7.4167,81.8167,79.88,84,7,8.28,clear sky
338,Pinkafeld,AT,47.3667,16.1167,41.99,91,100,4.72,light rain
339,Mount Gambier,AU,-37.8333,140.7667,57.81,56,71,10.8,broken clouds
340,Xining,CN,36.6167,101.7667,35.47,72,100,8.81,overcast clouds
341,Qaqortoq,GL,60.7167,-46.0333,37.17,75,99,2.93,overcast clouds
342,Shubarshi,KZ,48.5872,57.1869,31.08,99,91,4.76,overcast clouds
343,Lipin Bor,RU,60.2622,37.9763,18.72,92,95,5.01,overcast clouds
344,Weymouth,US,42.2209,-70.9398,64.27,81,100,25.32,overcast clouds
345,Nanortalik,GL,60.1432,-45.2371,37.63,85,100,7.07,light rain
346,Pinyug,RU,60.251,47.7842,21.65,89,100,6.24,overcast clouds
347,Champerico,GT,14.3,-91.9167,90.14,57,45,10.11,scattered clouds
