City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,San Jose,US,2022-03-29 20:10:36,37.3394,-121.895,67.35,63,40,14.97
220,Belmonte,BR,2022-03-29 20:12:11,-15.8631,-38.8828,80.51,69,42,6.78
221,Cherskiy,RU,2022-03-29 20:12:12,68.75,161.3,-7.49,84,100,2.98
222,Fairbanks,US,2022-03-29 20:10:50,64.8378,-147.7164,35.82,57,100,3.44
223,Carman,CA,2022-03-29 20:10:45,49.4992,-98.0016,35.67,86,100,4.14
224,Oranjemund,NA,2022-03-29 20:13:12,-28.55,16.4333,63.36,87,100,3.91
225,Nambour,AU,2022-03-29 20:13:13,-26.6333,152.95,68.86,93,20,1.01
226,Shawnee,US,2022-03-29 20:13:14,39.05,-95.7669,84.18,53,0,21.85
227,Saint George,US,2022-03-29 20:10:03,37.1041,-113.5841,62.64,55,40,20.71
228,Villa Rica,US,2022-03-29 20:13:15,33.7321,-84.9191,77.23,47,100,6.96
229,Makarska,HR,2022-03-29 20:13:15,43.2969,17.0178,53.67,78,81,5.77
230,Luan,CH,2022-03-29 20:13:16,46.3592,6.9759,48.24,56,100,3.51
231,Myitkyina,MM,2022-03-29 20:13:17,25.3833,97.4,71.58,56,83,2.04
232,Parrita,CR,2022-03-29 20:13:18,9.5201,-84.3225,87.15,64,54,8.52
233,San Policarpo,PH,2022-03-29 20:13:21,12.1791,125.5072,79.3,83,15,9.71
234,Saint-Augustin,CA,2022-03-29 20:13:21,51.226,-58.6502,32.61,99,100,12.21
235,Ocean Springs,US,2022-03-29 20:13:22,30.4113,-88.8278,80.71,74,40,9.22
236,Toropets,RU,2022-03-29 20:13:23,56.4978,31.6353,18.97,97,65,3.04
237,Pevek,RU,2022-03-29 20:12:20,69.7008,170.3133,-14.06,92,100,1.45
238,Morgan City,US,2022-03-29 20:13:23,29.6994,-91.2068,82.0,73,100,14.97
239,Rocha,UY,2022-03-29 20:08:38,-34.4833,-54.3333,85.03,35,4,12.66
240,Faya,SA,2022-03-29 20:13:24,18.3851,42.4509,57.72,29,0,2.86
241,Vestmannaeyjar,IS,2022-03-29 20:13:24,63.4427,-20.2734,38.28,68,59,29.55
242,Celestun,MX,2022-03-29 20:13:25,20.8667,-90.4,86.79,51,6,8.37
243,Inhambane,MZ,2022-03-29 20:13:25,-23.865,35.3833,74.39,69,6,9.8
244,Gorontalo,ID,2022-03-29 20:12:21,0.5412,123.0595,74.61,93,92,3.11
245,Mar Del Plata,AR,2022-03-29 20:11:09,-38.0023,-57.5575,69.82,76,0,18.01
246,Indramayu,ID,2022-03-29 20:13:26,-6.3264,108.32,78.4,82,65,4.12
247,Eidfjord,NO,2022-03-29 20:13:26,60.4675,7.0719,22.3,87,99,5.39
248,Bella Union,UY,2022-03-29 20:13:27,-30.2752,-57.6007,87.3,53,2,9.73
249,Tasiilaq,GL,2022-03-29 20:13:27,65.6145,-37.6368,24.96,75,100,11.97
250,Esperance,AU,2022-03-29 20:13:27,-33.8667,121.9,63.5,75,100,14.58
251,Adrar,MR,2022-03-29 20:13:28,20.5022,-10.0711,85.41,27,54,6.31
252,Carnarvon,AU,2022-03-29 20:13:28,-24.8667,113.6333,71.67,94,35,5.75
253,Sola,VU,2022-03-29 20:13:29,-13.8833,167.55,79.75,83,100,12.64
254,Nenjiang,CN,2022-03-29 20:13:29,49.1833,125.2167,23.83,63,0,8.32
255,Haines Junction,CA,2022-03-29 20:13:30,60.7522,-137.5108,31.68,86,100,1.45
256,Omboue,GA,2022-03-29 20:13:30,-1.5746,9.2618,76.42,85,56,4.68
257,Poronaysk,RU,2022-03-29 20:13:30,49.2167,143.1167,37.15,84,61,18.3
258,Chuy,UY,2022-03-29 20:13:31,-33.6971,-53.4616,85.6,39,5,9.13
259,Kotka,FI,2022-03-29 20:13:31,60.4664,26.9458,22.26,74,13,10.67
260,Petropavlovsk-Kamchatskiy,RU,2022-03-29 20:13:32,53.0452,158.6483,25.39,54,0,11.18
261,Da Nang,VN,2022-03-29 20:11:54,16.0678,108.2208,73.38,88,20,3.44
262,Spornoye,RU,2022-03-29 20:13:32,50.8448,37.2913,43.92,93,100,11.14
263,Handia,IN,2022-03-29 20:13:32,25.3833,82.1833,77.61,12,6,5.44
264,Guerrero Negro,MX,2022-03-29 20:13:33,27.9769,-114.0611,67.62,56,2,19.06
265,Kargil,IN,2022-03-29 20:13:33,34.5667,76.1,25.02,60,0,3.71
